,Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Ward/Branch.1,Routes Completed,Doors in Route,Time Spent,Did you complete more than 1 route?
39,North Stake Centre,Edmonton North Stake,2,3,29,60,Griesbach Ward,1,107,60,No
40,Gateway Stake Centre,Gateway Stake,1,0,20,20,Crawford Plains Ward,1,100,20,No
41,Londonderry Chapel,Bonnie Doon Stake,2,1,17,30,Londonderry Ward,1,182,-32.88349515,No
42,Londonderry Chapel,Bonnie Doon Stake,3,0,15,45,Londonderry Ward,2,200,51,No
43,North Stake Centre,Edmonton North Stake,2,2,24,30,Griesbach Ward,1,20,30,No
44,Gateway Stake Centre,Gateway Stake,2,0,26,45,Crawford Plains Ward,1,150,40,No
45,Gateway Stake Centre,Gateway Stake,3,0,24,35,Silver Berry Ward,1,194,40,No
46,Bonnie Doon Stake Centre,Bonnie Doon Stake,3,3,30,60,Forest Heights Ward,2,100,73,No
47,Gateway Stake Centre,Gateway Stake,2,2,33,50,Ellerslie Ward,1,207,50,No
48,Londonderry Chapel,Bonnie Doon Stake,2,2,11,35,Londonderry Ward,1,116,-32.88349515,No
49,Bearspaw Chapel,Gateway Stake,2,0,15,45,Blackmud Creek Ward,1,135,35,No
50,Gateway Stake Centre,Gateway Stake,1,0,11,20,Silver Berry Ward,1,29,13,No
51,Riverbend Stake Centre,Riverbend Stake,2,3,22,30,Rabbit Hill Ward,1,80,40,No
52,North Stake Centre,Edmonton North Stake,2,0,23,100,Namao Ward,1,160,100,No
53,Gateway Stake Centre,Gateway Stake,2,0,23,30,Wainwright Branch,1,137,30,No
54,Gateway Stake Centre,Gateway Stake,1,4,16,20,Lee Ridge Ward,2,147,20,No
55,Riverbend Stake Centre,Riverbend Stake,4,2,59,60,Rabbit Hill Ward,2,236,60,No
56,Gateway Stake Centre,Gateway Stake,1,1,5,17,Crawford Plains Ward,1,135,17,No
57,North Stake Centre,Edmonton North Stake,2,3,35,70,Griesbach Ward,1,370,65,No
58,Riverbend Stake Centre,Riverbend Stake,3,16,25,45,Woodbend Ward,1,100,45,No
59,Gateway Stake Centre,Gateway Stake,2,0,15,40,Crawford Plains Ward,1,115,40,No
60,North Stake Centre,Edmonton North Stake,2,2,16,60,Griesbach Ward,1,200,50,No
61,Gateway Stake Centre,Gateway Stake,2,0,20,30,Silver Berry Ward,1,198,30,No
62,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,25,40,Connors Hill Ward,1,235,60,No
63,Londonderry Chapel,Bonnie Doon Stake,2,0,20,35,Londonderry Ward,1,100,40,No
64,Gateway Stake Centre,Gateway Stake,2,1,22,50,Ellerslie Ward,1,191,50,No
65,North Stake Centre,Edmonton North Stake,2,0,9,20,Griesbach Ward,1,100,20,No
66,Gateway Stake Centre,Gateway Stake,2,0,31,58,Silver Berry Ward,1,27,57,No
67,Gateway Stake Centre,Gateway Stake,4,0,26,50,Silver Berry Ward,1,168,50,No
68,North Stake Centre,Edmonton North Stake,1,4,42,50,Namao Ward,1,392,60,No
69,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,3,18,120,Forest Heights Ward,1,100,56,No
70,Gateway Stake Centre,Gateway Stake,2,3,21,50,Crawford Plains Ward,2,317,50,No
71,Riverbend Stake Centre,Riverbend Stake,3,0,54,75,Greenfield Ward,1,212,80,No
72,Gateway Stake Centre,Gateway Stake,1,2,11,30,Crawford Plains Ward,2,261,33,No
73,Gateway Stake Centre,Gateway Stake,2,0,15,40,Crawford Plains Ward,1,115,40,No
74,Coronation Park Chapel,Edmonton North Stake,1,2,31,45,Stony Plain Ward,2,453,69,No
75,Gateway Stake Centre,Gateway Stake,2,0,27,40,Silver Berry Ward,1,23,40,No
76,Gateway Stake Centre,Gateway Stake,2,0,12,25,Crawford Plains Ward,1,110,25,No
